Time,Channel A,Channel B
(s),(mV),(V)

0.01978666,8.30103400,0.00021363
0.01985810,6.74459000,-0.00122074
0.01992953,7.27866400,-0.00039674
0.02000096,7.12607100,0.00073244
0.02007239,6.36310900,-0.00204474
0.02014382,4.24207300,-0.00241096
0.02021526,5.08133200,-0.00167852
0.02028669,5.34073900,0.00036622
0.02035812,7.50755300,-0.00424207
0.02042955,8.19421900,-0.00100711
0.02050098,6.56147900,-0.00167852
0.02057242,6.66829400,-0.00054933
0.02064385,5.26444200,0.00155644
0.02071528,6.43940500,-0.00045778
0.02078671,7.35496000,-0.00506607
0.02085814,5.18814600,-0.00424207
0.02092958,6.40888600,-0.00460830
0.02100101,7.12607100,-0.00045778
0.02107244,7.32444200,-0.00198370
0.02114387,6.33259000,-0.00204474
0.02121530,5.08133200,0.00006104
0.02128674,7.99584900,-0.00070193
0.02135817,8.98770000,0.00006104
0.02142960,5.41703500,0.00088504
0.02150103,6.66829400,-0.00296030
0.02157246,4.69985000,-0.00152593
0.02164390,8.75881200,0.00000000
0.02171533,7.55333000,0.00006104
0.02178676,4.51673900,-0.00039674
0.02185819,6.71407200,-0.00128178
0.02192962,8.22473800,0.00027467
0.02200106,8.60621900,-0.00408948
0.02207249,5.18814600,-0.00424207
0.02214392,8.52992300,-0.00091556
0.02221535,6.94296000,0.00140385
0.02228678,6.94296000,-0.00115970
0.02235822,6.40888600,-0.00167852
0.02242965,7.99584900,-0.00198370
0.02250108,4.73036900,-0.00115970
0.02257251,6.33259000,0.00000000
0.02264394,8.65199800,0.00042726
0.02271538,9.70488500,-0.00076296
0.02278681,6.10370200,-0.00183111
0.02285824,6.40888600,-0.00198370
0.02292967,3.55540600,-0.00219733
0.02300110,4.47096200,0.00134281
0.02307254,7.99584900,-0.00100711
0.02314397,8.68251500,-0.00152593
0.02321540,6.59199800,-0.00106815
0.02328683,8.75881200,0.00155644
0.02335826,6.10370200,-0.00378430
0.02342970,6.56147900,-0.00173956
0.02350113,6.74459000,0.00036622
0.02357256,7.47703500,-0.00213630
0.02364399,4.16577600,-0.00061037
0.02371542,7.70592300,0.00164800
0.02378686,8.45362700,0.00097659
0.02385829,6.71407200,0.00180059
0.02392972,9.03347800,-0.00183111
0.02400115,6.33259000,-0.00213630
0.02407258,3.17392500,-0.00106815
0.02414402,6.79036800,0.00164800
0.02421545,6.89718300,-0.00152593
0.02428688,4.88296100,-0.00347911
0.02435831,8.57570100,-0.00100711
